SrNo,CL118,CL217,CS118,CS217,EE227,EL227,MT104,MT119,MT224,SL101,SS101,SS122,EE182,cgpa,warnings,CS201
815.0,3.67,1.67,2.33,2,1.67,2.67,1.33,2.33,1,3,3,1,1.33,1.82,0.0,2.33,
816.0,3.33,1.33,2,1,3,3.33,4,3.67,3.67,3.67,4,1.67,3.67,3.05,0.0,3,
817.0,3,1,3.33,1.67,1,2.67,3.33,3,3,3.67,3.67,2.67,3.33,2.6,0.0,2,
818.0,3,2,1.67,1,2.33,3.67,3.33,4,2.67,3.67,4,2.33,3.67,2.8,0.0,2.33,
824.0,3.33,3.33,2.33,1.67,4,3.33,3.67,4,3.67,2.67,3.33,2,4,2.99,0.0,3.67,
826.0,3,1,2.33,0,1.67,2.67,1.67,3,1,3.67,3.67,3,2.33,2.22,0.0,2,
828.0,3,2,1.67,2,1.67,2.67,2.33,3.33, ,3.67,3.67, ,3.67,2.69,0.0,2,
829.0,3.67,2.67,2,3,2.33,3.67,2,2.33,3,3,3,2.67,2.33,2.53,0.0,4,
830.0,2.33,1.33,1.33,1.33,1.67,3.33,2.33,1.67,3.33,3.67,3.67,2.67,3.67,2.37,0.0,1.33,
835.0,2,2,1.33,1,2.67,3,3.33,3,2,3.33,3.33,2,3.33,2.48,0.0,1.67,
840.0,2,1.67,1.33,1.67,2.33,2.67,1.67,2.67, ,3.33,3,1,1.67,1.99,0.0,3,
844.0,2.67,2.33,2,3,1.67,4,2.33,1.67,2,3.67,3.33,3,2,2.55,0.0,3,
845.0,3.33,1,1.33,0,2.33,3.33,4,3.33,4,3.67,3.33,2.67,3.67,2.66,0.0,2.33,
848.0,3,2,3,2,2,3,3.67,3.67,3,2,2,1.33,3,2.5,0.0,4,
849.0,3.67,3,4,2.33,3.33,3,4,3.67,3.33,3.33,3.33,3.33,3.67,3.44,0.0,2.67,
854.0,3,2.67,2.33,2,1.67,3,2.33,2.33,1.67,3.67,3.33,3,2.33,2.54,0.0,2.67,
855.0,3.33,2.67,2.33,1.67,0,0,2.67,2.67,1,4,4,2.67,2.33,2.27,0.0,2.67,
858.0,3,1,2,1.67,2.67,2.33,1.67,3.33,2.33,3.33,3.67,3,2.33,2.43,0.0,2.67,
859.0,1,1,1.33,0,1.33,3,3,3,2,3.33,2.67,1.33,1.33,1.86,0.0,3.33,
861.0,1.67,0,1,0, , ,1.67,2, ,3.33,3.67,3.67,3.67,2.15,0.0,1.67,
862.0,2.33,1.67,1.67,1,2.67,3.33,3.33,3.33,2.33,3.33,3.33,2,3.33,2.64,0.0,2.33,
864.0,2,1.67,1,2,3.33,3,3.67,2.33,3.67,2.33,3.67,3,3.67,2.91,0.0,3.33,
866.0,3,3.67,2.33,3,3.67,4,2.67,2.33,2.67,3.67,3.67,2.33,3,3.01,0.0,3.67,
868.0,1.67,0,1.67,1,1.67,3,3.33,3.67, ,2.67,3,2.67,2,2.3,0.0,3,
873.0,2.33,1.33,2,1.67, , ,1.33,1.67,3.33,1.33,2.33,2.33,3,2.17,0.0,0,
878.0,3,1.33,2,1.33,1.67,2,2,3.33,3.67,4,4,3,4,2.69,0.0,2.67,
880.0,3.67,0,1.67,0,1.67,3,1.67,3.67,3.33,3.33,3.67,1.33,3.33,2.41,0.0,2,
881.0,3,1.67,1,1.33,2.33,2,3.33,2.67,3.67,3,3.33,3,1,2.52,0.0,2.67,
884.0,3.33,3.33,3.67,3,3.33,4,3.67,3.33,3.33,4,4,4,3.67,3.58,0.0,3.67,
885.0,4,3.67,3.33,3.67,2.67,3.67,3,3.33,3.33,2,2.67,2.33,3.33,3.16,0.0,3.67,
887.0,2.33,2,1.33,1.67,2,2,2.33,2.67,2,2,2,1,3,1.83,0.0,3,
889.0,3.67,2.67,3,3.33,3.67,2.67,4,3.33,3.67,3.67,3.33,3.33,2.33,3.37,0.0,3.67,
890.0,4,4,4,4,4,4,4,3,3.67,4,4,3.67,3.67,3.74,0.0,4,
895.0,3,1.67,1.67,0,3.33,3.33,2,2.67,3.67,3.67,4,4,4,2.93,0.0,3,
896.0,4,4,4,4,3.33,3,3.33,3.33,2.33,3.67,3.67,1.67,4,3.37,0.0,4,
897.0,3.67,0,3.33,1.67,3.67,3.33,1.67,2.67,2,3.33,3,2,3,2.51,0.0,3.33,
898.0,2.67,1,1.33,0,1.67,3.33,1,3.33,1.33,3.67,3.33,2,1.67,1.84,0.0,2,
899.0,3.33,0,3.67,1.67,3,3.67,3,2.67,1.33,3.33,4,3.67,2.33,2.83,0.0,3.33,
902.0,4,3.67,4,4,4,4,4,3.67,4,3.67,3.67,4,3.67,3.86,0.0,4,
903.0,1.67,3.33,1,3.33,0,2,1.67,1.67, ,3.33,3,2.33,0,2.04,0.0,2.33,
912.0,2.33,2.33,1.67,0,2.33,2,1.67,3.33,2.33,3.67,3.33,3.67,4,2.6,0.0,3.33,
914.0,3,0,1.33,0,2.33,3.33,3,3.33,2,3.67,4,3,2,2.35,0.0,1.67,
916.0,2.33,2.33,2,3,3,3.33,2.33,3.33,3,3.33,2.33,1.33,2.33,2.6,0.0,3.33,
917.0,3.33,2.33,3,3.67,4,3,2,2.67,1,4,3.67,3,3.67,2.93,0.0,2.33,
922.0,4,4,3.33,4,4,3.33,4,3.67,3.67,3,2,1,4,3.22,0.0,3.33,
923.0,2.67,1,1.67,0,0,2.67,3.33,2.33,2.33,3.33,3.67,3.33,1.33,2.05,2.0,0,
936.0,2,3.33,1.67,2.67,3,3, ,3.33,3,3,1.67,3.33,3.67,2.95,0.0,2.33,
941.0,4,2,2.33,2,3.33,3,2.67,3.33,1.33,4,3.33,3.33,2,2.79,0.0,3,
946.0,4,4,4,3.67,4,4,4,3,4,4,4,4,4,3.85,0.0,4,
1042.0,2.33,2,1.33,1.67,3.33,3.33,3,3,2,3.67,3.67,3.67,3.33,2.75,0.0,3.67,
1432.0,4,3.33,3.67,3.67,4,3.67, ,2.67,3, , , , ,2.67,0.0,2.33,
